source_id,vlm_landuse,vlm_label,vlm_confidence,vlm_reason,gold_label
punjab_30.8436_75.7591,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar agricultural fields yaani khet aur unke beech ki boundaries saaf dikh rahi hain, koi industrial structure ya bhatta nahi hai.",AGRI_BURN
punjab_30.8505_75.9482,industrial,INDUSTRIAL,0.85,"The red box encloses warehouse-like or industrial sheds along with associated buildings and a small paved or cleared area, which fits the industrial category.",INDUSTRIAL
punjab_30.9221_75.2818,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar sirf aayatakar khet, fasal aur medh ki lakeerein dikh rahi hain, koi industrial ya bhatta nahi hai.",AGRI_BURN
punjab_30.9261_75.3389,cropland,AGRI_BURN,0.95,"The red bounding box clearly frames a cultivated agricultural field with visible plowing lines and borders matching the surrounding cropland pattern, with no industrial structures or brick kilns present inside.",AGRI_BURN
punjab_30.9767_75.4498,cropland,AGRI_BURN,0.85,"The area inside the red box shows agricultural fields with regular boundary lines and vegetation, characteristic of cropland, with no industrial features visible inside the box.",FOREST_FIRE
uttarakhand_29.2054_79.0910,water,UNSURE,0.95,"The red square contains water, specifically a large water body or reservoir with visible wave patterns and linear structures on it.",FOREST_FIRE
uttarakhand_29.2390_79.1298,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar clearly green khet aur aayatakar fields dikh rahe hain, koi industrial ya bhatta structure nahi hai.",AGRI_BURN
uttarakhand_29.2601_79.1139,cropland,AGRI_BURN,0.85,"Inside the red square, the area displays regular agricultural plots with visible crop boundaries and green vegetation typical of farming fields, without any industrial features like brick kilns or chimneys.",FOREST_FIRE
uttarakhand_29.4397_79.7457,forest,FOREST_FIRE,0.95,"The area inside the red square is densely covered with trees, consistent with forest landuse.",FOREST_FIRE
uttarakhand_29.4831_79.3148,forest,FOREST_FIRE,0.95,"The red box is densely covered with trees and forest vegetation, with no visible industrial structures, brick kilns, or clearing inside the boxed area.",FOREST_FIRE
uttarakhand_29.5136_79.6490,forest,FOREST_FIRE,0.95,"The red square is entirely covered by dense tree canopy, indicating a natural forest environment without any industrial structures, chimneys, or clearing visible inside the boundary.",FOREST_FIRE
uttarakhand_29.5471_79.4567,forest,FOREST_FIRE,0.8,The area inside the red square shows tree cover and vegetation similar to the surrounding forested mountainous terrain without any industrial structures or crop patterns.,FOREST_FIRE
uttarakhand_29.6757_78.9170,forest,FOREST_FIRE,0.85,"The area inside the red square is predominantly covered by dense tree canopy, similar to the surrounding forested terrain.",FOREST_FIRE
uttarakhand_29.6845_79.6722,forest,FOREST_FIRE,0.95,"The area inside the red square is densely covered with trees, consistent with natural forest vegetation.",FOREST_FIRE
uttarakhand_29.6870_79.2740,forest,FOREST_FIRE,0.9,"Laal chaukor ke andar ghane ped aur prakritik dhaal dikh rahi hai, jiska matlab ye forest area hai.",FOREST_FIRE
uttarakhand_29.7171_78.8627,forest,FOREST_FIRE,0.95,"The area inside the red square is entirely covered with dense tree vegetation and natural hilly terrain, consistent with forest landuse.",FOREST_FIRE
uttarakhand_29.9114_78.9393,forest,FOREST_FIRE,0.95,"The red square primarily encloses dense vegetation and tree canopy typical of a forest ecosystem with no visible industrial structures, roads, or bare land.",FOREST_FIRE
uttarakhand_30.0438_80.1695,forest,FOREST_FIRE,0.9,"The area inside the red square shows dense tree cover typical of a forest ecosystem with no visible industrial features, buildings, or bare soil.",FOREST_FIRE
uttarakhand_30.1478_79.6975,cropland,AGRI_BURN,0.85,"The red bounding box encloses terraced agricultural fields and patches of vegetation on hilly terrain, showing typical field boundaries rather than industrial or barren land.",FOREST_FIRE
uttarakhand_30.1702_79.7626,barren,UNSURE,0.85,"The red square indicates a rocky, sparsely vegetated mountain slope with exposed bare earth and no visible industrial structures, mines, or clear cropland.",FOREST_FIRE
uttarakhand_30.2329_79.4358,forest,FOREST_FIRE,0.9,"The red bounding box primarily encloses dense tree cover and vegetation typical of a hilly forest area, without any industrial structures, brick kilns, or human disturbances visible inside.",FOREST_FIRE
korba_22.0356_83.3564,industrial,INDUSTRIAL,0.95,"Laal chaukor ke andar industrial infrastructure jaise ki factory buildings, sheds, aur cleared/paved yards maujood hain jo aas-paas ke jungle se alag hain.",
korba_21.8784_82.6595,cropland,AGRI_BURN,0.95,"The area inside the red square consists of clearly defined agricultural fields with regular crop rows and field boundaries, consistent with cropland.",
korba_21.9035_82.5092,cropland,AGRI_BURN,0.9,"The red bounding box area contains agricultural fields with characteristic linear field boundaries and vegetation cover, consistent with surrounding cropland rather than any industrial or brick kiln structures.",
korba_21.7549_82.7770,urban,UNSURE,0.85,"The red box is centered on a densely built-up village settlement containing multiple houses and local buildings connected by roads, characteristic of an urban area.",
korba_21.7326_82.8763,cropland,AGRI_BURN,0.95,The area inside the red square consists of clearly defined rectangular agricultural fields with straight field boundaries (medh) characteristic of cropland.,
korba_21.7011_83.0093,cropland,AGRI_BURN,0.85,The red bounding box primarily encloses agricultural field patterns and patches of vegetation/trees characteristic of rural mixed cropland rather than any industrial brick kiln or factory infrastructure.,
korba_21.8652_82.3610,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar clearly khet (agricultural plots) aur medh dikh rahe hain, koi industrial structure ya bhatta nahi hai.",
korba_21.6603_83.3688,cropland,AGRI_BURN,0.9,"The red box encompasses agricultural fields with distinct rectangular parcel boundaries and crop patterns, characteristic of cropland.",
korba_22.1448_82.5668,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar clearly alag-alag aakar ke khet (agricultural fields) aur unki medh (boundaries) dikh rahi hain, koi industrial structure ya bhatta nahi hai.",
korba_21.6133_82.4474,cropland,AGRI_BURN,0.95,"The area inside the red square shows regular agricultural fields with visible field boundaries and vegetation, consistent with cropland.",
korba_21.9893_82.9707,cropland,AGRI_BURN,0.9,"Laal chaukor ke andar agricultural fields (khet) aur unke beech ki boundaries dikh rahi hain, koi industrial structure ya bhatta nahi hai.",
korba_21.6904_82.7371,cropland,AGRI_BURN,0.9,"The area inside the red bounding box displays regular agricultural field patterns, bounded by bunds and filled with crops, characteristic of cropland.",
korba_21.9519_82.2524,cropland,AGRI_BURN,0.9,"The red box highlights an area filled with typical agricultural field plots and green vegetation, consistent with surrounding farmland.",
korba_22.0188_83.3386,forest,FOREST_FIRE,0.95,"Laal chaukor ke andar poori tarah se ghane ped hain, jo forest ko darshata hai.",
korba_21.9863_82.7428,cropland,AGRI_BURN,0.95,"The red box clearly frames a grid of agricultural plots with straight field boundaries and dense green crops, characteristic of cropland.",
korba_21.6377_82.6904,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar aur uske aas-paas ke ilaqe mein mitti ke khet aur unki aayatakar seernayein (cropland pattern) saaf dikh rahi hain, koi industrial ya bhatta structure nahi hai.",
korba_22.0734_82.9234,forest,FOREST_FIRE,0.85,"The area inside the red square is densely covered with trees, displaying characteristics typical of a forest patch surrounded by agricultural fields.",
korba_21.7779_83.1822,cropland,AGRI_BURN,0.85,"The red box is centered on a rural settlement area surrounded by agricultural fields and vegetation, showing no signs of industrial structures or brick kilns within the bounding box itself.",
korba_22.1563_82.2724,cropland,AGRI_BURN,0.85,"The red box is centered on a rural agricultural landscape consisting of divided crop fields and patches of vegetation, with no industrial features, kilns, or urban structures visible inside the bounding box.",
korba_22.0227_83.0262,cropland,AGRI_BURN,0.95,"The red square outlines agricultural fields divided by distinct boundaries and contains regular crop patterns, consistent with cropland.",
korba_21.9943_82.5461,cropland,AGRI_BURN,0.9,"The red bounding box primarily contains agricultural fields with regular crop patterns and plot boundaries, with no industrial structures or brick kilns visible inside it.",
korba_21.6657_82.7818,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar ghaney hare khet aur aakar wale khet dikh rahe hain, jo ki cropland ya krishi bhoomi ko darshate hain. Yahan kisi bhi industrial bhatte, shed ya factory ke lakshan nahi dikh rahe hain.",
korba_21.6708_82.5032,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar ghanne khet aur kuch rural vegetation ya ped hain, aur koi industrial bhatta ya structure nahi dikh raha hai.",
korba_21.8489_82.2738,cropland,AGRI_BURN,0.9,"The area inside the red box contains distinct agricultural field patterns and crop patches, surrounded by similar farmland.",
korba_21.6960_82.6216,cropland,AGRI_BURN,0.85,"The area inside the red square shows agricultural fields with standard crop patterns, boundaries, and soil color without any industrial structures like kilns or chimneys.",
korba_21.7782_82.5451,water,UNSURE,0.95,The red bounding box primarily encloses a body of water (pond/lake) with dark surface imagery and some surrounding shore vegetation.,
korba_21.8524_82.7539,cropland,AGRI_BURN,0.85,"The area inside the red square consists of typical agricultural plots and field patterns, showing no industrial structures, kilns, or factories.",
korba_22.0060_83.0792,cropland,AGRI_BURN,0.85,"The area inside the red box shows agricultural field patterns, divided into rectangular plots with crop cultivation boundaries, consistent with surrounding farmland.",
korba_21.8925_82.7421,cropland,AGRI_BURN,0.95,"The area inside the red square shows regular agricultural fields with visible field boundaries and green vegetation, typical of cropland, with no industrial structures present.",
korba_21.6688_83.1565,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar main roop se chote khet aur rural settlement structures dikh rahe hain, jo aas-paas ke agricultural landscape ka hissa hain.",
korba_21.8652_82.7991,cropland,AGRI_BURN,0.85,"The red square indicates an area with typical agricultural field patterns, ridges, and crop cover similar to the surrounding terrain, showing no distinct industrial or urban features inside the bounding box.",
korba_21.7584_82.7010,cropland,AGRI_BURN,0.95,"The red box clearly frames a pattern of agricultural fields with regular boundaries and plow lines, consistent with cropland.",
korba_21.8022_82.3404,cropland,AGRI_BURN,0.5,"The area inside the red square primarily shows agricultural field patterns, crop boundaries, and rural land similar to the surrounding cropland, without distinct industrial features such as a brick kiln structure or chimneys.",
korba_21.8717_82.2532,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar greeen agricultural fields aur kuch small rural settlement structures ya vegetation dikh rahe hain, koi industrial ya bhatta nahi hai.",
korba_22.0025_82.4714,cropland,AGRI_BURN,0.85,"The red bounding box primarily contains small agricultural plots, field boundaries, and vegetation typical of rural cropland, rather than industrial structures or brick kilns.",
korba_22.0602_82.6668,cropland,AGRI_BURN,0.95,Laal chaukor ke andar saaf taur par aniyamit aakar ke khet (cropland) aur kuch hariyasali dikh rahi hai. Koi bhi industrial ya bhatte ki structure nazar nahi aa rahi hai.,
korba_21.7070_82.5180,cropland,AGRI_BURN,0.85,"The area inside the red square shows regular agricultural fields with visible field boundaries and vegetation patterns, typical of cropland.",
korba_21.9587_82.9834,cropland,AGRI_BURN,0.85,"The area inside the red square primarily shows agricultural field patterns, divided plots, and crop cultivation without industrial structures, factories, or kilns.",
korba_21.9272_82.5719,cropland,AGRI_BURN,0.95,"The red square primarily shows green agricultural fields divided by field boundaries, consistent with surrounding cropland features.",
korba_21.9857_83.3659,industrial,INDUSTRIAL,0.95,"The red bounding box clearly shows an industrial facility with factory sheds, storage structures, and associated industrial yard features, surrounded by forest.",
korba_21.7451_82.9774,cropland,AGRI_BURN,0.95,"The red bounding box encloses agricultural fields characterized by rectangular plots and green vegetation, typical of cropland landuse.",
korba_21.9183_82.9214,cropland,AGRI_BURN,0.95,"The red bounding box clearly shows agricultural fields with typical straight field boundaries (medh) and crop patterns, characteristic of cropland.",
korba_21.7610_82.3396,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar clearly khet (cropland) aur unki seedhi medh ki lakeerein dikh rahi hain, koi industrial ya bhatte ki structure nahi hai.",
korba_22.0451_82.8891,cropland,AGRI_BURN,0.85,"Inside the red bounding box, the land consists of regular agricultural plots, field boundaries, and vegetation typical of cropland, with no industrial structures or brick kilns visible.",
korba_21.9645_82.5848,urban,UNSURE,0.85,"The red bounding box encloses a cluster of residential buildings, forming a small village or rural settlement rather than an industrial plant, mine, or crop field.",
korba_21.7460_83.1858,cropland,AGRI_BURN,0.95,"The red box clearly shows agricultural fields with typical plot boundaries and crop patterns, with no industrial features, brick kilns, or structures visible inside the specified area.",
korba_21.8984_83.0638,cropland,AGRI_BURN,0.9,"The red square outlines agricultural fields showing typical rectangular parcel patterns and crop cultivation tracks, without any industrial structures, brick kilns, or chimneys visible inside the marked area.",
korba_21.6241_82.3440,cropland,AGRI_BURN,0.95,"The red square outlines an area consisting of small agricultural plots and field boundaries, characteristic of cropland.",
korba_21.8907_83.1672,cropland,AGRI_BURN,0.95,"The area inside the red square clearly shows agricultural fields arranged in irregular yet distinct rectangular plots bounded by ridges, typical of rural cropland. There are no industrial features, brick kilns, sheds, chimneys, or paved yards visible",
korba_21.7885_82.8002,cropland,AGRI_BURN,0.85,The area inside the red box shows characteristic agricultural field patterns with crop rows and bunds matching the surrounding cropland despite the presence of rural vegetation.,
korba_22.0481_82.5211,cropland,AGRI_BURN,0.95,"The red bounding box is centered over agricultural fields (cropland) characterized by well-defined rectangular plots, crop boundaries, and vegetation, with no industrial structures or brick kilns present inside.",
korba_21.6707_82.3327,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar sirf khet aur kheti ki zameen (cropland) dikh rahi hai, koi industrial bhatta ya structure nahi hai.",
korba_21.8140_82.7676,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar ghaney khet aur sidhi medh ki lakeerein dikh rahi hain, koi industrial ya anya cheez nahi hai.",
korba_21.6477_82.4739,cropland,AGRI_BURN,0.85,"The red box is centered on a typical agricultural field pattern with regular boundaries and vegetation typical of rural cropland, showing no industrial structures, brick kilns, or urban features inside the boundary.",
korba_22.0126_82.8510,cropland,AGRI_BURN,0.85,The red box area primarily shows agricultural field patterns and vegetation rather than industrial structures or brick kilns.,
korba_22.0838_82.2479,cropland,AGRI_BURN,0.9,The area inside the red square shows agricultural fields with typical rectangular parcel shapes and crop cultivation patterns.,
korba_21.6467_82.6267,cropland,AGRI_BURN,0.85,"The area inside the red box shows agricultural field patterns, with grid-like boundaries and crop cultivation features consistent with surrounding agricultural lands.",
korba_21.6913_83.1759,cropland,AGRI_BURN,0.95,"The red bounding box clearly encloses standard agricultural fields with visible field boundaries, ridges, and crop plots matching the surrounding cropland landscape.",
korba_21.7353_82.6594,cropland,AGRI_BURN,0.85,"The area inside the red box shows agricultural field patterns, divided into small plots typical of cropland, with no industrial structures like brick kilns, sheds, or chimneys visible inside.",
punjab_30.2607_75.9083,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar sirf hara-bhara khet aur ek chhota rasta dikh raha hai, koi industrial structure ya bhatta nahi hai.",
korba_21.6742_82.8471,cropland,AGRI_BURN,0.85,The area inside the red box shows agricultural field patterns with regular plots and vegetation rather than industrial features or structures.,
korba_21.9277_83.0209,cropland,AGRI_BURN,0.95,"The red bounding box contains agricultural fields with characteristic rectangular plots, green vegetation, and field boundaries, consistent with cropland.",
korba_22.1307_82.6127,cropland,AGRI_BURN,0.95,"The red box is centered on a typical agricultural field pattern with regular boundaries and vegetation, showing no signs of industrial structures, brick kilns, or mining.",
korba_21.6297_83.2823,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar agricultural fields (khet) aur kuch chhote rural residential/vegetation patches dikh rahe hain, koi industrial bhatta ya structure nahi hai.",
korba_21.6456_82.5950,cropland,AGRI_BURN,0.85,"The red bounding box primarily encloses agricultural fields and vegetation plots, matching the surrounding rural cropland pattern rather than industrial or brick kiln structures.",
korba_21.9254_82.3691,cropland,AGRI_BURN,0.95,The area inside the red box contains distinct agricultural plots with grid-like field boundaries and green vegetation typical of cropland.,
korba_21.8015_82.3859,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar saaf taur par chote aayatakar khet aur unki medh (boundaries) dikh rahi hain, jo ki mukhyata kheti ki zameen ko darshata hai.",
korba_21.6873_82.6968,cropland,AGRI_BURN,0.95,The red box is positioned entirely over agricultural fields characterized by rectangular plot patterns and crop boundaries.,
punjab_30.4251_75.9966,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar clearly khet (cropland) ke rectangular plots aur dividing bunds dikh rahe hain. Koi industrial structure, bhatta, ya chimney nahi hai.",
korba_21.6761_83.0119,cropland,AGRI_BURN,0.9,"The red bounding box primarily encloses agricultural field plots (cropland) demarcated by regular geometric patterns and field boundaries, along with a narrow water channel or pond running through the center.",
korba_21.9586_82.9103,cropland,AGRI_BURN,0.95,"The area inside the red square shows typical agricultural field boundaries, crop patterns, and vegetation consistent with cropland, with no industrial features like kilns, sheds, or chimneys visible inside the bounding box.",
korba_21.9122_82.6908,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar spashṭ roop se khet aur unki medh ki lakeerein dikh rahi hain, koi industrial ya bhatta ki nishani nahi hai.",
korba_22.0763_82.5281,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar clearly khet (agricultural plots) aur unki boundaries dikh rahi hain, koi industrial structure ya bhatta nahi hai.",
korba_22.0814_82.6923,urban,UNSURE,0.85,The red bounding box clearly shows a cluster of residential houses and small buildings within a rural village settlement.,
korba_21.9932_82.8692,cropland,AGRI_BURN,0.85,"The red bounding box primarily encloses agricultural fields with clear rectangular patterns and boundaries, characteristic of cropland, and shows no signs of industrial structures or brick kilns within its borders.",
korba_22.0432_82.8063,cropland,AGRI_BURN,0.95,The area inside the red square shows typical agricultural field patterns (cropland) with regular boundaries and lush green vegetation.,
punjab_30.7322_76.0620,cropland,AGRI_BURN,0.95,"The red bounding box entirely covers agricultural fields with regular rectangular grid patterns and crop cultivation markers, showing no industrial structures, brick kilns, or urban elements inside the marked area.",
korba_21.8881_82.4080,cropland,AGRI_BURN,0.9,"The red square primarily encloses agricultural field patterns and vegetation typical of cropland, with no industrial features like kilns or sheds visible within the box.",
korba_21.9756_82.5023,cropland,AGRI_BURN,0.95,"The red bounding box is centered over agricultural fields characterized by small rectangular plots and distinct dividing ridgelines, indicating cropland with no industrial features visible inside.",
korba_21.8754_83.0462,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar mukhyata khet (cropland) aur kuch chote grameen ghar ya avshesh dikh rahe hain, koi industrial ya bhatta structure saaf nahi hai.",
korba_22.1033_82.5046,cropland,AGRI_BURN,0.95,"The area inside the red box consists clearly of agricultural fields with typical rectangular patterns, boundaries, and crop cultivation without any industrial structures or brick kilns.",
korba_21.6536_82.7182,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar agricultural fields yaani cropland visible hain, jinke aas-paas medh ki lakeerein aur khet ki boundaries bani hain.",
korba_21.6704_82.5822,urban,UNSURE,0.9,"The red bounding box is centered on a cluster of residential buildings and small structures forming a village settlement, which falls under the urban landuse category.",
korba_21.7007_83.1116,cropland,AGRI_BURN,0.85,"Inside the red square, there are agricultural field patterns, boundaries, and vegetation typical of cropland rather than industrial or other structures.",
uttarakhand_30.1185_79.6710,forest,FOREST_FIRE,0.9,"The red box is located in a hilly, wooded area containing scattered trees and grassland, with no industrial, agricultural, or other distinct land use features inside the specified boundary.",
korba_21.7006_82.7869,forest,FOREST_FIRE,0.95,"The red bounding box primarily encloses dense green canopy typical of forest or dense tree cover, with no visible industrial features like brick kilns, sheds, chimneys, or paved yards inside the box.",
korba_21.7064_82.4897,cropland,AGRI_BURN,0.85,"The red bounding box primarily contains small agricultural fields, parcel boundaries, and mixed vegetation characteristic of rural farming areas rather than industrial structures or brick kilns.",
korba_21.6592_83.3178,cropland,AGRI_BURN,0.85,"The area inside the red square shows typical agricultural field patterns, boundaries, and crop cultivation rather than any industrial or brick kiln structures.",
korba_21.6769_82.9309,cropland,AGRI_BURN,0.85,"The red square primarily encloses agricultural fields with clear field boundaries and crop patterns, characteristic of cropland.",
korba_21.8057_82.6222,cropland,AGRI_BURN,0.85,Laal chaukor ke andar agricultural fields (khet) aur unke beech se guzarti hui ek choti river/canal dikh rahi hai. Yahan koi industrial structure ya bhatta nahi hai.,
korba_22.0313_82.5561,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar saaf taur par khet aur aayatakar kheti ke tukde dikh rahe hain, jinme kisi bhi tarah ka industrial structure, eent ka bhatta ya chimney nahi hai.",
korba_21.6717_82.6601,cropland,AGRI_BURN,0.9,"The red bounding box is centered over agricultural fields and rural farmland divided into regular plots, with no industrial features, brick kilns, or urban structures inside the highlighted area.",
korba_21.8357_82.6114,cropland,AGRI_BURN,0.85,"The red box is located in an area showing agricultural field patterns with grid-like boundaries characteristic of cropland, lacking industrial structures like brick kilns, chimneys, or factories.",
korba_21.7761_82.9028,cropland,AGRI_BURN,0.85,"The red box area shows typical agricultural fields with patterned borders and vegetation, characteristic of cropland rather than industrial infrastructure.",
korba_21.9831_82.9052,cropland,AGRI_BURN,0.85,"The red box is centered on a rural area with agricultural fields, vegetation, and scattered rural settlement patterns rather than industrial features like brick kilns or factories.",
korba_21.8869_83.2194,cropland,AGRI_BURN,0.95,"The red square primarily encloses typical agricultural fields and crop boundaries with no industrial structures like kilns, sheds, chimneys, or paved yards present inside the designated area.",
korba_21.9553_83.0872,cropland,AGRI_BURN,0.85,"The area inside the red square consists of typical agricultural fields with grid patterns and boundary ridges, consistent with cropland.",
korba_21.9496_82.8468,cropland,AGRI_BURN,0.95,"The area inside the red square consists clearly of agricultural fields with typical rectangular grid patterns and bunds (medh), surrounded by green farmland without any industrial structures, brick kilns, or factories.",
korba_21.9863_82.3815,cropland,AGRI_BURN,0.95,"The red bounding box clearly encloses regular agricultural fields with visible field boundaries and green vegetation, matching the surrounding agricultural landscape rather than industrial features.",
korba_22.0323_82.5353,cropland,AGRI_BURN,0.85,"Inside the red bounding box, the land consists of green vegetation, small irregular farm plots, and trees, typical of cropland, with no industrial structures or brick kilns present.",
korba_21.9437_82.8218,cropland,AGRI_BURN,0.95,"The red square outlines an area entirely covered by agricultural fields (cropland) characterized by small, neatly demarcated plots and green vegetation without any industrial features, brick kilns, or buildings inside.",
korba_22.0238_82.7689,cropland,AGRI_BURN,0.85,"Laal chaukor ke andar keval hariyanvadi khet aur vanaspati/ped dikh rahe hain, koi industrial structure, chimney, bhatta ya paved yard nahi hai.",
korba_22.0484_82.6914,cropland,AGRI_BURN,0.9,"The red bounding box is centered over typical agricultural field patterns with regular rectangular plots and vegetation cover, showing no industrial structures like brick kilns or factories inside the box.",
korba_21.8562_82.6029,cropland,AGRI_BURN,0.95,"The red square indicates an area with regular grid-like field patterns and green vegetation characteristic of agricultural cropland, lacking any industrial or manufacturing structures.",
korba_21.8988_82.8859,cropland,AGRI_BURN,0.85,"The area inside the red square shows typical agricultural field patterns with regular rectangular plots and grid-like boundaries, consistent with cropland.",
korba_21.9936_82.7674,cropland,AGRI_BURN,0.95,"Laal chaukor ke andar aur uske aas-paas ke sare khet saaf taur par dikh rahe hain jinki aayatakar aur vargakar boundaries (medh) hain. Kisi bhi prakar ka industrial bhatta, factory, ya chimneys nahi dikh rahi hain.",
korba_22.0418_82.2792,cropland,AGRI_BURN,0.85,"The red bounding box is centered over a rural settlement area surrounded by agricultural fields, with no industrial features like kilns or factories visible inside.",
